N 25 0
V 0 Node_0 2 750.00 146.00 1
V 1 Node_1 3 842.00 844.00 1
V 2 Node_2 0 724.00 733.00 1
V 3 Node_3 1 775.00 801.00 1
V 4 Node_4 1 653.00 783.00 1
V 5 Node_5 3 585.00 931.00 1
V 6 Node_6 0 418.00 703.00 1
V 7 Node_7 2 310.00 435.00 1
V 8 Node_8 1 160.00 680.00 1
V 9 Node_9 2 754.00 913.00 1
V 10 Node_10 2 323.00 55.00 1
V 11 Node_11 2 899.00 537.00 1
V 12 Node_12 2 43.00 909.00 1
V 13 Node_13 0 849.00 935.00 1
V 14 Node_14 3 765.00 61.00 1
V 15 Node_15 0 730.00 122.00 1
V 16 Node_16 0 821.00 760.00 1
V 17 Node_17 3 804.00 431.00 1
V 18 Node_18 3 43.00 865.00 1
V 19 Node_19 2 532.00 807.00 1
V 20 Node_20 3 786.00 465.00 1
V 21 Node_21 1 454.00 579.00 1
V 22 Node_22 2 323.00 743.00 1
V 23 Node_23 1 138.00 69.00 1
V 24 Node_24 1 985.00 73.00 1
E 0 1 1.00 3.00 1000.00 0.98 3
E 0 9 19.00 8.00 1000.00 0.99 2
E 0 13 17.00 5.00 1000.00 0.91 1
E 0 15 3.00 3.00 1000.00 0.92 2
E 0 18 16.00 6.00 1000.00 0.99 2
E 0 24 6.00 7.00 1000.00 0.98 1
E 0 1 10.00 1.00 1000.00 0.99 1
E 1 7 7.00 9.00 1000.00 0.98 2
E 1 19 9.00 7.00 1000.00 0.93 1
E 1 2 10.00 1.00 1000.00 0.99 1
E 2 4 3.00 10.00 1000.00 0.98 1
E 2 5 18.00 7.00 1000.00 0.93 1
E 2 9 17.00 1.00 1000.00 0.93 1
E 2 12 6.00 7.00 1000.00 0.90 1
E 2 17 9.00 8.00 1000.00 0.92 1
E 2 18 12.00 2.00 1000.00 0.95 2
E 2 20 16.00 10.00 1000.00 0.90 3
E 2 3 10.00 1.00 1000.00 0.99 1
E 3 5 4.00 5.00 1000.00 0.92 2
E 3 13 16.00 1.00 1000.00 0.96 3
E 3 23 4.00 7.00 1000.00 0.94 3
E 3 4 10.00 1.00 1000.00 0.99 1
E 4 5 1.00 8.00 1000.00 0.99 1
E 4 10 5.00 2.00 1000.00 0.95 1
E 4 23 9.00 3.00 1000.00 0.91 2
E 4 5 10.00 1.00 1000.00 0.99 1
E 5 8 12.00 4.00 1000.00 0.99 1
E 5 13 17.00 4.00 1000.00 0.90 3
E 5 23 2.00 4.00 1000.00 0.99 2
E 5 6 10.00 1.00 1000.00 0.99 1
E 6 9 16.00 2.00 1000.00 0.98 2
E 6 10 8.00 10.00 1000.00 0.94 3
E 6 13 7.00 6.00 1000.00 0.92 3
E 6 20 19.00 4.00 1000.00 0.92 2
E 6 7 10.00 1.00 1000.00 0.99 1
E 7 12 20.00 9.00 1000.00 0.96 3
E 7 13 2.00 1.00 1000.00 0.90 2
E 7 21 20.00 8.00 1000.00 0.93 1
E 7 8 10.00 1.00 1000.00 0.99 1
E 8 14 3.00 3.00 1000.00 0.90 1
E 8 17 1.00 8.00 1000.00 0.99 2
E 8 20 14.00 8.00 1000.00 0.97 1
E 8 21 19.00 10.00 1000.00 0.94 1
E 8 22 12.00 4.00 1000.00 0.96 1
E 8 9 10.00 1.00 1000.00 0.99 1
E 9 10 6.00 6.00 1000.00 0.95 3
E 9 14 19.00 8.00 1000.00 0.97 2
E 9 16 18.00 2.00 1000.00 0.93 3
E 9 10 10.00 1.00 1000.00 0.99 1
E 10 13 9.00 2.00 1000.00 0.97 2
E 10 20 1.00 1.00 1000.00 0.95 3
E 10 24 11.00 6.00 1000.00 0.92 1
E 10 11 10.00 1.00 1000.00 0.99 1
E 11 15 10.00 6.00 1000.00 0.95 2
E 11 16 3.00 5.00 1000.00 0.99 3
E 11 18 19.00 1.00 1000.00 0.98 1
E 11 23 3.00 3.00 1000.00 0.96 2
E 11 24 19.00 5.00 1000.00 0.93 3
E 11 12 10.00 1.00 1000.00 0.99 1
E 12 14 13.00 6.00 1000.00 0.92 3
E 12 18 15.00 1.00 1000.00 0.99 3
E 12 22 4.00 7.00 1000.00 0.92 3
E 12 13 10.00 1.00 1000.00 0.99 1
E 13 14 10.00 1.00 1000.00 0.99 1
E 14 20 1.00 5.00 1000.00 0.96 2
E 14 21 11.00 3.00 1000.00 0.92 2
E 14 15 10.00 1.00 1000.00 0.99 1
E 15 17 17.00 9.00 1000.00 0.94 3
E 15 18 11.00 3.00 1000.00 0.98 2
E 15 21 7.00 1.00 1000.00 0.95 1
E 15 24 8.00 1.00 1000.00 0.91 2
E 15 16 10.00 1.00 1000.00 0.99 1
E 16 20 7.00 10.00 1000.00 0.90 1
E 16 24 12.00 1.00 1000.00 0.94 1
E 16 17 10.00 1.00 1000.00 0.99 1
E 17 22 10.00 8.00 1000.00 0.98 3
E 17 18 10.00 1.00 1000.00 0.99 1
E 18 19 10.00 1.00 1000.00 0.99 1
E 19 22 15.00 1.00 1000.00 0.95 3
E 19 20 10.00 1.00 1000.00 0.99 1
E 20 23 11.00 1.00 1000.00 0.97 1
E 20 21 10.00 1.00 1000.00 0.99 1
E 21 22 15.00 3.00 1000.00 0.94 2
E 21 24 13.00 1.00 1000.00 0.98 1
E 21 22 10.00 1.00 1000.00 0.99 1
E 22 23 10.00 1.00 1000.00 0.99 1
E 23 24 10.00 1.00 1000.00 0.99 1
