N 50 0
V 0 Noeud_0 3 158.766403 290.639038 1
V 1 Noeud_1 0 699.697144 164.276093 1
V 2 Noeud_2 3 420.079193 350.609894 1
V 3 Noeud_3 1 388.021484 497.878387 1
V 4 Noeud_4 2 332.530792 332.244080 1
V 5 Noeud_5 2 554.434814 290.071533 1
V 6 Noeud_6 1 408.781738 224.932968 1
V 7 Noeud_7 1 652.573730 447.109375 1
V 8 Noeud_8 1 536.626953 505.974518 1
V 9 Noeud_9 0 568.667847 157.853989 1
V 10 Noeud_10 0 656.097961 255.827667 1
V 11 Noeud_11 2 71.484253 468.492004 1
V 12 Noeud_12 3 744.501648 542.495605 1
V 13 Noeud_13 3 441.819336 341.159210 1
V 14 Noeud_14 2 540.026733 321.382416 1
V 15 Noeud_15 0 420.623230 381.949799 1
V 16 Noeud_16 2 121.365471 292.472473 1
V 17 Noeud_17 0 346.203735 475.813568 1
V 18 Noeud_18 2 175.822784 52.521027 1
V 19 Noeud_19 0 471.756348 235.224136 1
V 20 Noeud_20 2 426.184875 149.453384 1
V 21 Noeud_21 0 350.901215 368.998993 1
V 22 Noeud_22 1 667.037842 89.500183 1
V 23 Noeud_23 0 191.221237 410.963806 1
V 24 Noeud_24 2 715.881714 460.099274 1
V 25 Noeud_25 2 165.996262 85.164116 1
V 26 Noeud_26 3 297.342926 401.783661 1
V 27 Noeud_27 0 272.252014 185.441620 1
V 28 Noeud_28 2 321.712860 462.830475 1
V 29 Noeud_29 2 387.861450 76.731697 1
V 30 Noeud_30 0 60.868446 525.710693 1
V 31 Noeud_31 3 371.836823 201.084732 1
V 32 Noeud_32 3 313.529785 225.073471 1
V 33 Noeud_33 0 433.798615 52.633839 1
V 34 Noeud_34 3 143.204483 469.816345 1
V 35 Noeud_35 0 314.613464 234.647537 1
V 36 Noeud_36 1 376.607361 471.351807 1
V 37 Noeud_37 0 523.968018 535.711975 1
V 38 Noeud_38 0 445.322845 400.901123 1
V 39 Noeud_39 3 502.846863 476.578064 1
V 40 Noeud_40 0 401.695923 159.738098 1
V 41 Noeud_41 0 443.411926 460.051880 1
V 42 Noeud_42 2 208.075272 243.630768 1
V 43 Noeud_43 2 204.373550 304.574768 1
V 44 Noeud_44 2 293.334137 276.147736 1
V 45 Noeud_45 1 550.774414 346.972534 1
V 46 Noeud_46 0 90.716812 355.365906 1
V 47 Noeud_47 3 131.106644 235.263718 1
V 48 Noeud_48 1 95.102310 503.183655 1
V 49 Noeud_49 0 490.754822 311.734924 1
E 0 45 6.181403 49.106186 479.944580 0.626955 2
E 0 43 5.183481 21.481472 230.588028 0.829450 6
E 0 37 1.533817 43.762794 674.889038 0.866531 4
E 0 16 1.629807 7.299840 860.733826 0.640745 8
E 0 8 8.771210 15.840092 236.374527 0.859279 5
E 0 2 1.225583 13.937475 598.296875 0.708874 7
E 1 47 2.736207 14.194793 832.389343 0.982227 7
E 1 40 2.396055 3.673361 966.396240 0.734110 4
E 1 36 7.772273 42.358902 193.303146 0.692232 2
E 1 32 6.009307 30.554821 373.060791 0.629212 2
E 1 27 1.884766 13.358892 190.214111 0.849216 2
E 1 21 3.151773 16.488098 475.675049 0.761425 2
E 1 19 3.454018 37.351536 619.321411 0.519509 8
E 1 11 4.609921 17.034008 698.048828 0.614729 10
E 2 42 4.510233 9.054835 827.603027 0.791424 7
E 2 41 6.573115 24.706305 336.133972 0.835184 2
E 2 38 4.203873 3.621335 205.996216 0.710275 8
E 2 35 7.201550 3.489949 147.382462 0.920557 10
E 2 34 5.433870 1.297145 928.582092 0.655279 10
E 2 21 3.456015 24.145727 986.056091 0.802540 1
E 2 18 2.793556 18.910957 512.413574 0.797357 6
E 2 13 5.491412 23.642824 539.899170 0.936543 9
E 2 5 2.437698 41.285500 934.101379 0.690004 4
E 3 45 5.476526 33.537582 451.516541 0.688132 8
E 3 35 4.297630 7.888632 820.583923 0.752437 4
E 3 34 7.232335 27.462572 695.396301 0.847467 2
E 3 25 8.121619 12.183372 907.041870 0.529251 10
E 3 21 5.155116 22.939487 319.864746 0.925873 3
E 3 18 2.496442 26.572994 583.516968 0.704967 8
E 3 9 6.219000 10.424498 642.385925 0.878135 5
E 4 45 3.126285 36.198097 951.995667 0.772586 4
E 4 38 6.097927 5.715650 521.124634 0.634649 5
E 4 36 3.684815 37.402260 978.376648 0.597529 8
E 4 34 2.400371 6.653344 187.108536 0.851723 9
E 4 25 5.520486 38.039074 462.360138 0.937151 7
E 4 16 5.837940 29.566559 397.060211 0.717158 4
E 4 6 6.958932 48.792488 840.719055 0.758662 5
E 5 48 9.024026 21.685415 187.481720 0.836199 5
E 5 39 4.535158 35.896690 607.742920 0.908659 6
E 5 33 8.920349 40.840359 319.040192 0.727046 3
E 5 27 4.864502 37.392776 750.444946 0.849410 4
E 5 25 1.634474 42.389614 674.547241 0.675172 2
E 5 22 6.575358 33.915607 148.213882 0.683756 9
E 5 16 7.256724 5.122713 181.491776 0.906824 2
E 5 14 6.678210 37.331219 647.476501 0.909695 7
E 5 12 1.899450 33.989788 547.331360 0.832231 6
E 6 47 6.007277 40.834202 217.950928 0.834074 1
E 6 45 1.180839 35.629772 110.394547 0.556183 7
E 6 37 8.097718 30.136400 806.287659 0.764670 10
E 6 28 2.923745 24.845495 104.528290 0.781635 6
E 6 24 9.484541 21.016943 830.453369 0.905662 9
E 6 19 9.145009 18.279186 784.721558 0.897574 5
E 6 16 1.277874 45.830837 979.286499 0.593221 7
E 7 43 6.342480 39.403152 352.541504 0.536300 7
E 7 34 3.756687 48.054287 658.664612 0.875504 4
E 7 21 8.688911 31.074692 657.852722 0.794797 2
E 7 19 1.730576 16.216904 458.514343 0.528192 8
E 7 18 5.790812 29.247820 102.078506 0.907463 1
E 7 12 6.003638 1.779755 510.297028 0.534570 6
E 7 9 6.892165 15.252624 684.610107 0.634233 8
E 8 48 6.052642 26.912155 882.674255 0.503701 9
E 8 46 6.841574 40.940468 622.669189 0.778283 2
E 8 43 4.106511 12.599157 559.770874 0.982705 4
E 8 41 6.097629 27.407944 932.588379 0.562757 1
E 8 32 3.638469 10.498954 227.148163 0.710594 10
E 8 30 3.615873 49.832302 531.729980 0.658807 8
E 8 29 4.233094 31.539516 148.626099 0.532713 9
E 8 20 8.807639 17.291428 963.704224 0.598496 1
E 8 19 4.397614 42.920486 754.199768 0.908864 3
E 8 10 4.954240 16.857409 182.293518 0.892946 8
E 8 9 8.384134 23.515686 892.138123 0.869549 10
E 9 42 1.261553 22.384922 125.084831 0.722621 5
E 9 39 5.795189 37.672241 620.571228 0.689456 8
E 9 26 5.616321 36.416443 855.428528 0.603710 2
E 9 21 5.310790 8.884462 433.716034 0.980851 7
E 9 12 5.848888 2.410126 705.863098 0.578471 2
E 10 47 1.540502 18.513601 248.794495 0.827343 4
E 10 42 4.649353 48.239788 322.398224 0.581700 4
E 10 40 6.317716 27.373297 136.377960 0.669047 5
E 11 47 5.487514 9.939954 463.926025 0.558139 7
E 11 42 2.664880 4.468069 592.739868 0.821489 9
E 11 25 1.207361 12.528423 324.327393 0.594923 9
E 11 17 2.852516 24.025375 733.495422 0.587702 7
E 12 49 1.209761 36.107944 122.004921 0.964811 3
E 12 33 3.210418 41.798809 992.200256 0.671697 4
E 12 31 3.756470 28.144911 734.436279 0.872551 10
E 12 26 5.777689 4.363037 569.601685 0.775579 9
E 13 48 3.329077 21.649191 705.112915 0.573420 3
E 13 44 1.697191 48.292809 490.088104 0.839308 10
E 13 39 7.600439 47.644253 981.287170 0.774494 2
E 13 37 5.185166 28.687862 942.963257 0.935306 8
E 13 36 3.295966 29.819666 231.105072 0.657271 10
E 13 34 9.065351 30.220036 524.447510 0.660920 6
E 14 30 7.473381 34.280704 352.671631 0.751367 10
E 14 22 8.477615 2.576047 625.792603 0.942798 5
E 14 18 1.431375 28.874952 198.011307 0.653402 9
E 15 47 8.622278 9.849911 567.435303 0.547225 3
E 15 40 4.856594 48.816826 254.571243 0.766030 5
E 15 37 8.526562 22.408588 231.160980 0.679152 4
E 15 34 7.978823 28.592253 228.351257 0.944212 1
E 15 32 1.781667 36.238632 865.679199 0.816727 2
E 15 22 6.118178 45.713017 607.720764 0.701819 4
E 15 17 6.386440 43.998215 449.083374 0.969168 1
E 16 48 7.999856 42.254322 308.306702 0.505872 5
E 16 42 9.930073 21.375359 773.210693 0.917978 2
E 16 38 4.736099 47.889530 198.049927 0.514002 2
E 16 28 5.059566 1.664127 816.007324 0.519639 4
E 16 21 9.800882 8.733414 604.820801 0.623990 2
E 16 20 8.835597 27.578306 423.073273 0.606955 10
E 17 49 3.210732 21.486702 944.786072 0.955366 10
E 17 45 5.441213 36.228981 586.687622 0.809895 7
E 17 33 5.992171 30.527746 115.108871 0.574884 4
