N 20 0
V 0 Transit_US_East 0 800.0 200.0 1
V 1 Transit_US_West 0 200.0 200.0 1
V 2 Transit_Europe 0 1200.0 300.0 1
V 3 Transit_Asia 0 1600.0 400.0 1
V 4 IXP_NewYork 1 700.0 400.0 1
V 5 IXP_LosAngeles 1 100.0 400.0 1
V 6 IXP_London 1 1100.0 500.0 1
V 7 IXP_Frankfurt 1 1300.0 500.0 1
V 8 IXP_Tokyo 1 1700.0 600.0 1
V 9 IXP_Singapore 1 1500.0 700.0 1
V 10 ISP_Northeast_US 0 900.0 500.0 1
V 11 ISP_Midwest_US 0 500.0 500.0 1
V 12 ISP_California 0 200.0 600.0 1
V 13 ISP_UK 0 1000.0 600.0 1
V 14 ISP_Germany 0 1300.0 700.0 1
V 15 ISP_France 0 1100.0 700.0 1
V 16 ISP_Japan 0 1800.0 700.0 1
V 17 ISP_Korea 0 1600.0 800.0 1
V 18 CDN_Global_1 2 700.0 100.0 1
V 19 CDN_Global_2 2 1400.0 200.0 1
E 0 1 10.0 35.0 400000.0 9.99 10
E 0 2 15.0 80.0 400000.0 9.98 10
E 2 3 20.0 120.0 400000.0 9.97 10
E 1 3 25.0 150.0 400000.0 9.96 10
E 0 4 2.0 5.0 100000.0 9.99 10
E 0 6 12.0 70.0 100000.0 9.95 10
E 1 5 2.0 5.0 100000.0 9.99 10
E 2 6 3.0 10.0 100000.0 9.98 10
E 2 7 2.0 8.0 100000.0 9.98 10
E 3 8 3.0 10.0 100000.0 9.98 10
E 3 9 4.0 15.0 100000.0 9.97 10
E 4 6 10.0 65.0 40000.0 9.90 9
E 5 8 18.0 130.0 40000.0 9.85 9
E 6 7 2.0 8.0 100000.0 9.98 10
E 7 9 15.0 100.0 40000.0 9.88 9
E 8 9 5.0 25.0 40000.0 9.92 9
E 10 4 1.0 3.0 10000.0 9.8 8
E 11 4 3.0 15.0 10000.0 9.7 8
E 11 5 5.0 25.0 10000.0 9.6 8
E 12 5 1.0 3.0 10000.0 9.8 8
E 13 6 1.0 3.0 10000.0 9.8 8
E 14 7 1.0 3.0 10000.0 9.8 8
E 15 6 2.0 8.0 10000.0 9.7 8
E 15 7 3.0 12.0 10000.0 9.6 8
E 16 8 1.0 3.0 10000.0 9.8 8
E 17 8 2.0 8.0 10000.0 9.7 8
E 17 9 3.0 15.0 10000.0 9.6 8
E 18 0 1.0 2.0 40000.0 9.95 10
E 18 1 20.0 30.0 40000.0 9.90 10
E 18 4 0.5 1.0 40000.0 9.98 10
E 19 2 1.0 2.0 40000.0 9.95 10
E 19 3 15.0 100.0 40000.0 9.85 10
E 19 7 0.5 1.0 40000.0 9.98 10
E 10 11 4.0 20.0 5000.0 9.5 7
E 13 15 3.0 12.0 5000.0 9.6 7
E 14 15 2.0 8.0 5000.0 9.7 8
E 16 17 2.0 5.0 5000.0 9.7 8
