N 25 0
V 0 Core_Router_1 0 500.0 500.0 1
V 1 Core_Router_2 0 500.0 400.0 1
V 2 Dist_Batiment_A 0 200.0 300.0 1
V 3 Dist_Batiment_B 0 800.0 300.0 1
V 4 Dist_Batiment_C 0 200.0 700.0 1
V 5 Dist_Batiment_D 0 800.0 700.0 1
V 6 Firewall_Main 3 500.0 100.0 1
V 7 DMZ_Server 2 500.0 0.0 1
V 8 Switch_A1_Lab1 1 0.0 200.0 1
V 9 Switch_A2_Lab2 1 100.0 200.0 1
V 10 Switch_A3_Bureau 1 50.0 400.0 1
V 11 Switch_B1_Admin 1 700.0 200.0 1
V 12 Switch_B2_Finance 1 900.0 200.0 1
V 13 Switch_B3_Direction 1 800.0 400.0 1
V 14 Switch_C1_Etage1 1 0.0 700.0 1
V 15 Switch_C2_Etage2 1 100.0 800.0 1
V 16 Server_Library 2 200.0 800.0 1
V 17 Switch_D1_Salle_TP 1 700.0 700.0 1
V 18 Switch_D2_Recherche 1 900.0 700.0 1
V 19 Server_Calcul 2 900.0 800.0 1
V 20 Server_Auth 2 400.0 550.0 1
V 21 Server_Storage 2 500.0 550.0 1
V 22 Server_Web 2 600.0 550.0 1
V 23 Wifi_Controller_1 0 300.0 500.0 1
V 24 Wifi_Controller_2 0 700.0 500.0 1
E 0 1 0.5 1.0 40000.0 9.99 10
E 0 2 2.0 5.0 10000.0 9.9 9
E 0 3 2.0 5.0 10000.0 9.9 9
E 1 4 2.0 5.0 10000.0 9.9 9
E 1 5 2.0 5.0 10000.0 9.9 9
E 0 4 3.0 8.0 10000.0 9.8 9
E 1 2 3.0 8.0 10000.0 9.8 9
E 0 6 1.0 2.0 10000.0 9.95 10
E 6 7 0.5 1.0 1000.0 9.9 10
E 2 8 1.0 3.0 1000.0 9.5 7
E 2 9 1.0 3.0 1000.0 9.5 7
E 2 10 1.0 3.0 1000.0 9.5 7
E 8 9 0.5 1.0 1000.0 9.7 8
E 3 11 1.0 3.0 1000.0 9.5 8
E 3 12 1.0 3.0 1000.0 9.5 8
E 3 13 1.0 3.0 1000.0 9.5 8
E 11 12 0.5 1.0 1000.0 9.7 8
E 4 14 1.0 3.0 1000.0 9.5 7
E 4 15 1.0 3.0 1000.0 9.5 7
E 4 16 0.8 2.0 10000.0 9.8 9
E 14 15 0.5 1.0 1000.0 9.7 8
E 5 17 1.0 3.0 1000.0 9.5 8
E 5 18 1.0 3.0 1000.0 9.5 8
E 5 19 0.8 2.0 10000.0 9.8 9
E 17 18 0.5 1.0 1000.0 9.7 8
E 18 19 0.3 0.5 10000.0 9.9 9
E 0 20 0.5 1.0 10000.0 9.95 10
E 0 21 0.5 1.0 10000.0 9.95 10
E 0 22 0.5 1.0 10000.0 9.95 10
E 20 21 0.2 0.5 40000.0 9.99 10
E 21 22 0.2 0.5 40000.0 9.99 10
E 1 23 1.0 2.0 1000.0 9.6 7
E 1 24 1.0 2.0 1000.0 9.6 7
