N 28 0
V 0 Core_1 1 300.0 0.0 1
V 1 Core_2 1 500.0 0.0 1
V 2 Core_3 1 700.0 0.0 1
V 3 Core_4 1 900.0 0.0 1
V 4 Agg_P0_1 1 100.0 200.0 1
V 5 Agg_P0_2 1 200.0 200.0 1
V 6 ToR_P0_1 1 50.0 400.0 1
V 7 ToR_P0_2 1 150.0 400.0 1
V 8 ToR_P0_3 1 250.0 400.0 1
V 9 ToR_P0_4 1 350.0 400.0 1
V 10 Agg_P1_1 1 500.0 200.0 1
V 11 Agg_P1_2 1 600.0 200.0 1
V 12 ToR_P1_1 1 450.0 400.0 1
V 13 ToR_P1_2 1 550.0 400.0 1
V 14 ToR_P1_3 1 650.0 400.0 1
V 15 ToR_P1_4 1 750.0 400.0 1
V 16 Agg_P2_1 1 900.0 200.0 1
V 17 Agg_P2_2 1 1000.0 200.0 1
V 18 ToR_P2_1 1 850.0 400.0 1
V 19 ToR_P2_2 1 950.0 400.0 1
V 20 ToR_P2_3 1 1050.0 400.0 1
V 21 ToR_P2_4 1 1150.0 400.0 1
V 22 Agg_P3_1 1 1300.0 200.0 1
V 23 Agg_P3_2 1 1400.0 200.0 1
V 24 ToR_P3_1 1 1250.0 400.0 1
V 25 ToR_P3_2 1 1350.0 400.0 1
V 26 ToR_P3_3 1 1450.0 400.0 1
V 27 ToR_P3_4 1 1550.0 400.0 1
E 0 4 1.0 0.1 100000.0 9.999 10
E 0 10 1.0 0.1 100000.0 9.999 10
E 1 4 1.0 0.1 100000.0 9.999 10
E 1 10 1.0 0.1 100000.0 9.999 10
E 2 5 1.0 0.1 100000.0 9.999 10
E 2 11 1.0 0.1 100000.0 9.999 10
E 3 5 1.0 0.1 100000.0 9.999 10
E 3 11 1.0 0.1 100000.0 9.999 10
E 0 16 1.0 0.1 100000.0 9.999 10
E 0 22 1.0 0.1 100000.0 9.999 10
E 1 16 1.0 0.1 100000.0 9.999 10
E 1 22 1.0 0.1 100000.0 9.999 10
E 2 17 1.0 0.1 100000.0 9.999 10
E 2 23 1.0 0.1 100000.0 9.999 10
E 3 17 1.0 0.1 100000.0 9.999 10
E 3 23 1.0 0.1 100000.0 9.999 10
E 4 6 0.5 0.05 40000.0 9.99 10
E 4 7 0.5 0.05 40000.0 9.99 10
E 5 8 0.5 0.05 40000.0 9.99 10
E 5 9 0.5 0.05 40000.0 9.99 10
E 4 8 0.6 0.06 40000.0 9.98 10
E 4 9 0.6 0.06 40000.0 9.98 10
E 5 6 0.6 0.06 40000.0 9.98 10
E 5 7 0.6 0.06 40000.0 9.98 10
E 10 12 0.5 0.05 40000.0 9.99 10
E 10 13 0.5 0.05 40000.0 9.99 10
E 11 14 0.5 0.05 40000.0 9.99 10
E 11 15 0.5 0.05 40000.0 9.99 10
E 10 14 0.6 0.06 40000.0 9.98 10
E 10 15 0.6 0.06 40000.0 9.98 10
E 11 12 0.6 0.06 40000.0 9.98 10
E 11 13 0.6 0.06 40000.0 9.98 10
E 16 18 0.5 0.05 40000.0 9.99 10
E 16 19 0.5 0.05 40000.0 9.99 10
E 17 20 0.5 0.05 40000.0 9.99 10
E 17 21 0.5 0.05 40000.0 9.99 10
E 16 20 0.6 0.06 40000.0 9.98 10
E 16 21 0.6 0.06 40000.0 9.98 10
E 17 18 0.6 0.06 40000.0 9.98 10
E 17 19 0.6 0.06 40000.0 9.98 10
E 22 24 0.5 0.05 40000.0 9.99 10
E 22 25 0.5 0.05 40000.0 9.99 10
E 23 26 0.5 0.05 40000.0 9.99 10
E 23 27 0.5 0.05 40000.0 9.99 10
E 22 26 0.6 0.06 40000.0 9.98 10
E 22 27 0.6 0.06 40000.0 9.98 10
E 23 24 0.6 0.06 40000.0 9.98 10
E 23 25 0.6 0.06 40000.0 9.98 10
