N 20 0
V 0 Paris_Core 0 600.0 200.0 1
V 1 Lyon 0 700.0 500.0 1
V 2 Marseille 0 720.0 750.0 1
V 3 Lille 0 620.0 50.0 1
V 4 Bordeaux 0 350.0 600.0 1
V 5 Toulouse 0 450.0 700.0 1
V 6 Nantes 0 300.0 400.0 1
V 7 Strasbourg 0 900.0 300.0 1
V 8 Nice 0 850.0 700.0 1
V 9 Rennes 0 250.0 350.0 1
V 10 Montpellier 0 600.0 720.0 1
V 11 Grenoble 0 750.0 550.0 1
V 12 Rouen 0 500.0 150.0 1
V 13 Clermont-Ferrand 0 600.0 550.0 1
V 14 Nancy 0 800.0 250.0 1
V 15 Dijon 0 720.0 380.0 1
V 16 Tours 0 450.0 400.0 1
V 17 Brest 0 100.0 300.0 1
V 18 Limoges 0 450.0 550.0 1
V 19 Le_Havre 0 450.0 100.0 1
E 0 1 2.0 15.0 100000.0 9.99 10
E 0 3 1.0 8.0 100000.0 9.99 10
E 0 4 3.0 20.0 50000.0 9.98 9
E 0 6 2.0 12.0 50000.0 9.98 9
E 0 7 2.0 12.0 50000.0 9.98 9
E 0 12 0.8 5.0 40000.0 9.95 8
E 0 16 1.0 8.0 40000.0 9.95 8
E 1 2 1.5 10.0 100000.0 9.99 10
E 1 5 2.5 18.0 40000.0 9.95 9
E 1 7 2.0 12.0 40000.0 9.95 9
E 1 10 1.5 10.0 40000.0 9.95 9
E 1 11 0.5 4.0 40000.0 9.95 8
E 1 13 1.0 6.0 20000.0 9.90 8
E 1 15 1.0 6.0 20000.0 9.90 8
E 2 8 1.0 6.0 50000.0 9.98 9
E 2 10 1.0 6.0 50000.0 9.98 9
E 3 12 1.0 8.0 20000.0 9.90 8
E 4 5 1.0 8.0 50000.0 9.98 9
E 4 6 1.5 10.0 40000.0 9.95 9
E 4 18 1.0 6.0 20000.0 9.90 8
E 5 10 1.0 6.0 40000.0 9.95 9
E 6 9 0.5 4.0 40000.0 9.95 9
E 6 16 1.0 6.0 20000.0 9.90 8
E 7 14 0.5 4.0 20000.0 9.90 8
E 7 15 1.0 8.0 20000.0 9.90 8
E 8 11 1.5 10.0 20000.0 9.90 8
E 9 17 1.0 8.0 20000.0 9.90 8
E 12 19 0.3 2.0 20000.0 9.90 8
E 13 18 1.0 6.0 10000.0 9.85 7
E 14 15 0.5 4.0 10000.0 9.85 7
