N 35 0
V 0 Cloud_Server 2 1000.0 0.0 1
V 1 Edge_Gateway_Master 0 1000.0 200.0 1
V 2 Gateway_Zone1 0 300.0 300.0 1
V 3 Sensor_Temp_1A 1 100.0 400.0 1
V 4 Sensor_Temp_1B 1 200.0 400.0 1
V 5 Sensor_Humid_1A 1 300.0 400.0 1
V 6 Sensor_Pressure_1 1 400.0 450.0 1
V 7 Sensor_Motion_1 1 250.0 500.0 1
V 8 Camera_1 1 150.0 550.0 1
V 9 Gateway_Zone2 0 800.0 300.0 1
V 10 Sensor_Temp_2A 1 600.0 400.0 1
V 11 Sensor_Temp_2B 1 700.0 400.0 1
V 12 Sensor_Door_2A 1 800.0 400.0 1
V 13 Sensor_Door_2B 1 900.0 400.0 1
V 14 Sensor_Smoke_2 1 750.0 500.0 1
V 15 Actuator_HVAC_2 1 850.0 550.0 1
V 16 Gateway_Zone3 0 1400.0 300.0 1
V 17 Sensor_Presence_3A 1 1200.0 400.0 1
V 18 Sensor_Presence_3B 1 1300.0 400.0 1
V 19 Sensor_Presence_3C 1 1400.0 400.0 1
V 20 Sensor_Presence_3D 1 1500.0 400.0 1
V 21 Camera_Parking_3 1 1350.0 500.0 1
V 22 Light_Controller_3 1 1450.0 550.0 1
V 23 Gateway_Zone4 0 1800.0 300.0 1
V 24 Sensor_Soil_4A 1 1600.0 400.0 1
V 25 Sensor_Soil_4B 1 1700.0 400.0 1
V 26 Sensor_Light_4 1 1800.0 400.0 1
V 27 Sensor_CO2_4 1 1900.0 400.0 1
V 28 Actuator_Irrigation_4 1 1750.0 500.0 1
V 29 Actuator_Ventilation_4 1 1850.0 550.0 1
V 30 Mesh_Repeater_1 0 550.0 250.0 1
V 31 Mesh_Repeater_2 0 1100.0 250.0 1
V 32 Mesh_Repeater_3 0 1600.0 250.0 1
V 33 Cloud_Backup 2 900.0 50.0 1
V 34 Analytics_Server 2 1100.0 50.0 1
E 0 1 0.5 5.0 10000.0 9.95 10
E 0 33 0.3 2.0 10000.0 9.99 10
E 0 34 0.3 2.0 10000.0 9.99 10
E 33 34 0.2 1.0 10000.0 9.99 10
E 1 2 2.0 15.0 1000.0 9.5 8
E 1 9 2.0 15.0 1000.0 9.5 8
E 1 16 3.0 25.0 1000.0 9.3 7
E 1 23 4.0 35.0 1000.0 9.0 6
E 1 30 1.5 10.0 500.0 9.0 7
E 1 31 1.5 10.0 500.0 9.0 7
E 1 32 2.0 15.0 500.0 8.8 7
E 30 2 1.0 8.0 500.0 9.2 7
E 31 9 1.0 8.0 500.0 9.2 7
E 31 16 1.5 12.0 500.0 9.0 7
E 32 16 1.0 8.0 500.0 9.2 7
E 32 23 1.5 12.0 500.0 9.0 7
E 30 31 2.0 15.0 500.0 8.5 6
E 31 32 2.0 15.0 500.0 8.5 6
E 2 3 0.5 3.0 100.0 8.5 5
E 2 4 0.5 3.0 100.0 8.5 5
E 2 5 0.5 3.0 100.0 8.5 5
E 2 6 0.6 4.0 100.0 8.3 5
E 2 7 0.7 5.0 100.0 8.0 5
E 2 8 1.0 8.0 500.0 8.8 6
E 3 4 0.3 2.0 50.0 7.5 4
E 7 8 0.4 3.0 100.0 8.0 5
E 9 10 0.5 3.0 100.0 8.5 5
E 9 11 0.5 3.0 100.0 8.5 5
E 9 12 0.5 3.0 100.0 8.5 5
E 9 13 0.5 3.0 100.0 8.5 5
E 9 14 0.6 4.0 100.0 8.3 5
E 9 15 0.8 6.0 200.0 8.8 6
E 10 11 0.3 2.0 50.0 7.5 4
E 12 13 0.3 2.0 50.0 7.5 4
E 16 17 0.5 3.0 100.0 8.5 5
E 16 18 0.5 3.0 100.0 8.5 5
E 16 19 0.5 3.0 100.0 8.5 5
E 16 20 0.5 3.0 100.0 8.5 5
E 16 21 1.0 8.0 500.0 8.8 6
E 16 22 0.7 5.0 200.0 8.5 6
E 17 18 0.3 2.0 50.0 7.5 4
E 19 20 0.3 2.0 50.0 7.5 4
E 23 24 0.5 3.0 100.0 8.5 5
E 23 25 0.5 3.0 100.0 8.5 5
E 23 26 0.5 3.0 100.0 8.5 5
E 23 27 0.5 3.0 100.0 8.5 5
E 23 28 0.8 6.0 200.0 8.8 6
E 23 29 0.8 6.0 200.0 8.8 6
E 24 25 0.3 2.0 50.0 7.5 4
E 28 29 0.4 3.0 100.0 8.0 5
