N 11 1
V 0 API_Gateway 1 400.0 100.0 1
V 1 Auth_Service 2 200.0 200.0 1
V 2 User_Service 2 400.0 200.0 1
V 3 Product_Service 2 600.0 200.0 1
V 4 Order_Service 2 400.0 300.0 1
V 5 Payment_Service 2 600.0 300.0 1
V 6 Notification_Service 2 200.0 300.0 1
V 7 Inventory_DB 0 600.0 400.0 1
V 8 User_DB 0 400.0 400.0 1
V 9 Redis_Cache 0 400.0 150.0 1
V 10 Analytics_Worker 0 100.0 400.0 1
E 0 1 1.0 5.0 1000.0 0.99 10
E 0 2 1.0 10.0 800.0 0.98 8
E 0 3 1.0 8.0 500.0 0.98 8
E 0 4 1.0 12.0 200.0 0.98 9
E 1 2 0.5 2.0 1000.0 0.99 10
E 2 8 2.0 5.0 500.0 0.99 10
E 2 9 0.2 1.0 2000.0 0.95 5
E 3 7 2.0 5.0 400.0 0.99 9
E 4 3 1.0 5.0 100.0 0.97 7
E 4 5 1.5 8.0 50.0 0.99 10
E 5 6 1.0 10.0 20.0 0.90 6
E 4 6 1.0 2.0 20.0 0.90 6
E 0 10 5.0 500.0 10.0 0.80 4
