N 14 0
V 0 Chatelet 1 500.0 400.0 1
V 1 Gare_du_Nord 1 500.0 200.0 1
V 2 Gare_de_Lyon 1 700.0 500.0 1
V 3 Saint_Lazare 1 300.0 200.0 1
V 4 Montparnasse 1 300.0 600.0 1
V 5 Nation 0 800.0 400.0 1
V 6 Etoile 0 200.0 300.0 1
V 7 Bastille 0 600.0 450.0 1
V 8 Republique 0 600.0 300.0 1
V 9 Opera 0 400.0 300.0 1
V 10 Invalides 0 300.0 450.0 1
V 11 Concorde 0 350.0 350.0 1
V 12 Bercy 0 750.0 550.0 1
V 13 La_Defense 0 100.0 200.0 1
E 0 1 2.0 4.0 1000.0 0.99 8
E 1 8 2.0 3.0 800.0 0.98 7
E 8 5 3.0 5.0 700.0 0.98 7
E 5 2 2.0 4.0 800.0 0.98 7
E 0 2 2.0 3.0 1000.0 0.99 8
E 0 9 2.0 3.0 900.0 0.98 8
E 9 3 2.0 4.0 800.0 0.98 7
E 3 6 3.0 5.0 700.0 0.98 7
E 6 13 4.0 7.0 900.0 0.99 9
E 6 11 2.0 3.0 600.0 0.98 7
E 11 0 2.0 4.0 800.0 0.98 7
E 11 10 1.0 2.0 500.0 0.97 7
E 10 4 2.0 4.0 700.0 0.98 8
E 0 4 4.0 8.0 800.0 0.98 8
E 7 0 1.0 2.0 600.0 0.97 7
E 7 2 1.0 2.0 600.0 0.97 7
E 7 8 1.0 2.0 600.0 0.97 7
E 2 12 1.0 2.0 500.0 0.98 7
