N 12 1
V 0 Centre_Ville 0 500.0 300.0 1
V 1 Zone_Industrielle 0 200.0 200.0 1
V 2 Zone_Residentielle_Nord 0 500.0 100.0 1
V 3 Zone_Residentielle_Sud 0 500.0 500.0 1
V 4 Aeroport 1 800.0 100.0 1
V 5 Gare_Centrale 1 600.0 300.0 1
V 6 Hopital_General 1 400.0 400.0 1
V 7 Stade 0 800.0 400.0 1
V 8 Universite 0 400.0 200.0 1
V 9 Centre_Commercial 0 700.0 300.0 1
V 10 Peripherique_Est 1 900.0 300.0 1
V 11 Peripherique_Ouest 1 100.0 300.0 1
E 0 5 2.0 5.0 100.0 0.99 8
E 5 0 2.0 5.0 100.0 0.99 8
E 2 0 5.0 15.0 50.0 0.95 7
E 2 1 4.0 12.0 40.0 0.98 6
E 1 0 6.0 20.0 80.0 0.96 5
E 0 3 5.0 15.0 50.0 0.95 7
E 3 0 5.0 15.0 50.0 0.95 7
E 2 8 2.0 8.0 30.0 0.99 9
E 8 0 3.0 10.0 40.0 0.98 8
E 0 6 3.0 8.0 80.0 0.99 10
E 6 0 3.0 8.0 80.0 0.99 10
E 0 9 2.0 5.0 60.0 0.97 7
E 9 7 3.0 8.0 40.0 0.96 6
E 7 4 5.0 15.0 50.0 0.98 8
E 4 10 4.0 10.0 100.0 0.99 9
E 10 9 4.0 12.0 80.0 0.98 8
E 1 11 3.0 10.0 90.0 0.97 7
E 11 2 5.0 15.0 70.0 0.96 7
E 5 4 8.0 25.0 60.0 0.95 8
E 4 5 8.0 25.0 60.0 0.95 8
