N 15 0
V 0 Alice 1 500.0 100.0 1
V 1 Bob 1 600.0 200.0 1
V 2 Charlie 1 400.0 200.0 1
V 3 David 0 300.0 300.0 1
V 4 Eve 0 700.0 300.0 1
V 5 Frank 0 500.0 300.0 1
V 6 Grace 0 400.0 400.0 1
V 7 Heidi 0 600.0 400.0 1
V 8 Ivan 0 500.0 500.0 1
V 9 Judy 0 200.0 200.0 1
V 10 Kevin 0 800.0 200.0 1
V 11 Liam 0 100.0 300.0 1
V 12 Mike 0 900.0 300.0 1
V 13 Nina 0 200.0 500.0 1
V 14 Oscar 0 800.0 500.0 1
E 0 1 0.0 0.0 100.0 1.0 10
E 0 2 0.0 0.0 100.0 1.0 10
E 1 5 0.0 0.0 50.0 0.8 5
E 2 5 0.0 0.0 50.0 0.8 5
E 5 6 0.0 0.0 80.0 0.9 8
E 5 7 0.0 0.0 80.0 0.9 8
E 6 8 0.0 0.0 60.0 0.8 6
E 7 8 0.0 0.0 60.0 0.8 6
E 2 3 0.0 0.0 40.0 0.7 4
E 1 4 0.0 0.0 40.0 0.7 4
E 3 9 0.0 0.0 90.0 0.9 9
E 9 11 0.0 0.0 30.0 0.6 3
E 3 11 0.0 0.0 20.0 0.5 2
E 4 10 0.0 0.0 90.0 0.9 9
E 10 12 0.0 0.0 30.0 0.6 3
E 4 12 0.0 0.0 20.0 0.5 2
E 6 13 0.0 0.0 70.0 0.8 7
E 13 3 0.0 0.0 10.0 0.4 2
E 7 14 0.0 0.0 70.0 0.8 7
E 14 4 0.0 0.0 10.0 0.4 2
