N 10 1
V 0 Supplier_Raw_A 0 100.0 100.0 1
V 1 Supplier_Raw_B 0 100.0 300.0 1
V 2 Factory_Main 1 300.0 200.0 1
V 3 Factory_Components 1 300.0 400.0 1
V 4 Warehouse_Regional 0 500.0 300.0 1
V 5 Distribution_Center_North 0 700.0 100.0 1
V 6 Distribution_Center_South 0 700.0 500.0 1
V 7 Shop_Paris 0 900.0 200.0 1
V 8 Shop_Lyon 0 900.0 400.0 1
V 9 Online_Delivery_Hub 0 900.0 300.0 1
E 0 2 10.0 48.0 500.0 0.90 5
E 1 2 12.0 52.0 400.0 0.85 5
E 1 3 8.0 24.0 300.0 0.95 6
E 3 2 5.0 12.0 200.0 0.98 8
E 2 4 15.0 24.0 1000.0 0.99 9
E 4 5 8.0 12.0 600.0 0.97 7
E 4 6 9.0 14.0 600.0 0.97 7
E 5 7 6.0 8.0 100.0 0.95 6
E 5 9 5.0 6.0 200.0 0.99 8
E 6 8 6.0 8.0 100.0 0.95 6
E 6 9 5.0 7.0 200.0 0.99 8
E 4 9 4.0 4.0 100.0 0.99 9
