N 8 0
V 0 Entry_Router 0 0.0 150.0 1
V 1 Switch_L1_A 1 100.0 0.0 1
V 2 Switch_L1_B 1 100.0 300.0 1
V 3 Router_Core_A 0 200.0 50.0 1
V 4 Router_Core_B 0 200.0 250.0 1
V 5 Switch_L2_A 1 300.0 100.0 1
V 6 Switch_L2_B 1 300.0 200.0 1
V 7 Exit_Server 2 400.0 150.0 1
E 0 1 1.0 5.0 1000.0 9.0 7
E 0 2 1.0 5.0 1000.0 9.0 7
E 1 3 2.0 8.0 5000.0 9.5 8
E 1 4 3.0 12.0 5000.0 9.2 7
E 2 3 3.0 12.0 5000.0 9.2 7
E 2 4 2.0 8.0 5000.0 9.5 8
E 3 5 1.5 6.0 10000.0 9.8 9
E 3 6 2.0 10.0 10000.0 9.6 8
E 4 5 2.0 10.0 10000.0 9.6 8
E 4 6 1.5 6.0 10000.0 9.8 9
E 5 7 1.0 3.0 10000.0 9.9 10
E 6 7 1.0 3.0 10000.0 9.9 10
